01053,01
02408,02
03190,03
04070,04
05061,05
06088,06
07186,07
08105,08
09122,09
10387,10
11069,11
12202,12
13055,13
14118,14
15014,15
16015,16
17300,17
18033,18
19272,19
21231,21
22278,22
23096,23
24322,24
25056,25
26362,26
27229,27
28085,28
29232,29
2A004,2A
2B033,2B
30189,30
31555,31
32013,32
33063,33
34172,34
35238,35
36044,36
37261,37
38185,38
39300,39
40192,40
41018,41
42218,42
43157,43
44109,44
45234,45
46042,46
47001,47
48095,48
49007,49
50502,50
51108,51
52121,52
53130,53
54395,54
55029,55
56260,56
57463,57
58194,58
59350,59
60057,60
61001,61
62041,62
63113,63
64445,64
65440,65
66136,66
67482,67
68066,68
69123,69
70550,70
71270,71
72181,72
73065,73
74010,74
75056,75
76540,76
77288,77
78646,78
79191,79
80021,80
81004,81
82121,82
83137,83
84007,84
85191,85
86194,86
87085,87
88160,88
89024,89
90010,90
91228,91
92050,92
93008,93
94028,94
95500,95
97105,971
97209,972
97302,973
97411,974
97608,976
